Rig,MAC (NIC-1) enp031f6,MAC (NIC-2) enp2s0,IP,PDU IP,PDU Port #,Rig In place?,Ram,Bios,Nvme,Pdu Port set,Partition,Commisioned,Deployed,RunPod,VastAi,Port Forward,Port Range,Tower Number,Dell (Service Tag)  /  HP (Serial Number),Status,GPU Numbers,,,,Notes,2023DecStatus
A01101,74:86:e2:13:b4:56,74:86:e2:13:b2:12,10.10.11.1,10.10.200.11,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20001-20020,TR-1606,D5JJWM3,,     ,,,,,
A01102,74:86:e2:13:8b:e0,74:86:e2:13:7e:88,10.10.11.2,10.10.200.11,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20021-20040,TR-1607,88JJWM3,,,,,,,
A01103,74:86:e2:13:89:a7,74:86:e2:13:89:01,10.10.11.3,10.10.200.11,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20041-20060,TR-1609,H7JJWM3,,,,,,,
A01104,74:86:e2:13:61:db,74:86:e2:13:61:1b,10.10.11.4,10.10.200.11,34,Yes,Yes,Yes,Yes,Yes,,,,,,,20061-20080,TR-1608,2YHJWM3,,,,,,Need to Troubleshoot,
A01105,74:86:e2:13:b4:70,74:86:e2:13:b2:67,10.10.11.5,10.10.200.11,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20081-20100,TR-1610,B5JJWM3,,,,,,,
A01106,74:86:e2:13:b3:49,74:86:e2:13:b2:57,10.10.11.6,10.10.200.11,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20101-20120,TR-1616,DWHJWM3,,,,,,,
A01107,74:86:e2:13:8b:54,74:86:e2:13:8a:ab,10.10.11.7,10.10.200.11,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20121-20140,TR-1617,HYHJWM3,,,,,,,
A01108,74:86:e2:13:61:ec,74:86:e2:13:61:62,10.10.11.8,10.10.200.11,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20141-20160,TR-1618,1YHJWM3,,,,,,,
A01109,74:86:e2:13:b4:0f,74:86:e2:13:b1:94,10.10.11.9,10.10.200.11,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20161-20180,TR-1619,17JJWM3,,,,,,,
A01110,74:86:e2:13:92:ce,74:86:e2:13:92:31,10.10.11.10,10.10.200.11,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20181-20200,TR-1620,66JJWM3,,,,,,,
