Rig,MAC (NIC-1) enp031f6,MAC (NIC-2) enp2s0,IP,PDU IP,PDU Port #,Rig In place?,Ram,Bios,Nvme,Pdu Port set,Partition,Commisioned,Deployed,RunPod,VastAi,Port Forward,Port Range,Tower Number,Notes,Company's Serial Number,GPU,,,,Notes
A02101,74:86:e2:13:9c:ec,74:86:e2:13:9c:39,10.10.21.1,10.10.200.21,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1491,,,,,,,cm-cluster2
A02102,74:86:e2:10:62:08,74:86:e2:10:60:47,10.10.21.2,10.10.200.21,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1492,,,,,,,cm-cluster2
A02103,74:86:e2:10:60:86,74:86:e2:10:5f:15,10.10.21.3,10.10.200.21,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1493,,,,,,,cm-cluster2
A02104,74:86:e2:10:64:ae,74:86:e2:10:63:1f,10.10.21.4,10.10.200.21,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1494,,,,,,,cm-cluster2
A02105,74:86:e2:10:65:81,74:86:e2:10:64:40,10.10.21.5,10.10.200.21,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1495,,,,,,,cm-cluster2
A02106,74:86:e2:10:61:0a,74:86:e2:10:5f:4b,10.10.21.6,10.10.200.21,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1460,,,,,,,cm-cluster2
A02107,74:86:e2:10:6a:ac,74:86:e2:10:34:64,10.10.21.7,10.10.200.21,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1511,,,,,,,cm-cluster2
A02108,74:86:e2:10:65:1c,74:86:e2:10:63:fb,10.10.21.8,10.10.200.21,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1462,,,,,,,cm-cluster2
A02109,74:86:e2:09:82:9d,74:86:e2:09:81:74,10.10.21.9,10.10.200.21,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1463,,,,,,,cm-cluster2
A02110,74:86:e2:10:60:af,74:86:e2:10:5f:dc,10.10.21.10,10.10.200.21,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1464,,,,,,,cm-cluster2
A02111,74:86:e2:10:68:66,74:86:e2:10:66:f5,10.10.21.11,10.10.200.21,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1465,,,,,,,
A02112,74:86:e2:10:66:ca,74:86:e2:10:60:c0,10.10.21.12,10.10.200.21,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1467,,,,,,,
A02113,74:86:e2:10:60:69,74:86:e2:10:5e:c9,10.10.21.13,10.10.200.21,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1468,,,,,,,
A02114,74:86:e2:10:60:98,74:86:e2:10:5f:0a,10.10.21.14,10.10.200.21,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1469,,,,,,,
A02115,74:86:e2:10:5f:8f,74:86:e2:10:5e:ae,10.10.21.15,10.10.200.21,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1470,,,,,,,
A02116,74:86:e2:10:60:96,74:86:e2:10:5e:ef,10.10.21.16,10.10.200.21,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1471,,,,,,,
A02117,74:86:e2:10:55:df,74:86:e2:10:50:66,10.10.21.17,10.10.200.21,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1466,,,,,,,
A02118,74:86:e2:10:60:6e,74:86:e2:10:5f:20,10.10.21.18,10.10.200.21,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1473,,,,,,,
