Rig,MAC (NIC-1) enp031f6,MAC (NIC-2) enp2s0,IP,PDU IP,PDU Port #,Rig In place?,Ram,Nvme,Bios,Renamed,Pdu Port set,IP,Commisioned,Partition,Deployed,VastAi,Tower Number,Dell (Service Tag)  /  HP (Serial Number), Notes,GPU,,,,Notes
B11101,74:86:e2:13:b5:6e,74:86:e2:13:b2:f9,10.10.111.1,10.10.200.111,1,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1552,,,,,,,
B11102,74:86:e2:13:b1:74,74:86:e2:13:af:c2,10.10.111.2,10.10.200.112,2,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1553,CWHJWM3,Sent to DELL DEPO,GP-7432,GP-7433,GP-7434,GP-7435,
B11103,74:86:e2:13:b2:5a,74:86:e2:13:b1:81,10.10.111.3,10.10.200.111,3,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1551,,,,,,,
B11104,74:86:e2:13:b3:e0,74:86:e2:13:b3:0c,10.10.111.4,10.10.200.112,4,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1554,,,,,,,
B11105,74:86:e2:13:8b:62,74:86:e2:13:8a:d6,10.10.111.5,10.10.200.111,5,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1555,,,,,,,
B11106,74:86:e2:13:a2:12,74:86:e2:13:a1:82,10.10.111.6,10.10.200.112,6,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1661,,,,,,,
B11107,74:86:e2:10:6c:99,74:86:e2:10:69:61,10.10.111.7,10.10.200.111,7,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1662,,,,,,,3GPUS
B11108,74:86:e2:13:8b:52,74:86:e2:13:8a:92,10.10.111.8,10.10.200.112,22,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1537,,,,,,,
B11109,74:86:e2:13:9b:e5,74:86:e2:13:9b:28,10.10.111.9,10.10.200.111,9,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1664,,,,,,,
B11110,74:86:e2:13:b3:d1,74:86:e2:13:b3:16,10.10.111.10,10.10.200.112,10,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1542,,,,,,,
B11111,74:86:e2:13:b2:53,74:86:e2:13:b1:b9,10.10.111.11,10.10.200.111,11,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1560,,,,,,,
B11112,74:86:e2:10:65:a3,74:86:e2:10:64:21,10.10.111.12,10.10.200.112,12,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1541,,,,,,,
B11113,74:86:e2:13:86:ab,74:86:e2:13:83:15,10.10.111.13,10.10.200.111,13,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1544,,,,,,,
B11114,74:86:e2:13:92:2d,74:86:e2:13:91:a6,10.10.111.14,10.10.200.112,14,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1543,,,,,,,
B11115,74:86:e2:13:b5:03,74:86:e2:13:63:de,10.10.111.15,10.10.200.111,15,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1545,7SHJWM3,Sent to DELL DEPO,GP-7400,GP-7401,GP-7402,GP-7403,
B11116,74:86:e2:13:91:43,74:86:e2:13:90:8d,10.10.111.16,10.10.200.112,23,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1550,2ZHJWM3,Sent to DELL DEPO,GP-7420,GP-7421,GP-7422,GP-7423,
B11117,74:86:e2:13:7d:28,74:86:e2:13:7a:25,10.10.111.17,10.10.200.111,17,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1549,,,,,,,
B11118,74:86:e2:13:8d:7b,74:86:e2:13:8c:a3,10.10.111.18,10.10.200.112,18,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1548,,,,,,,
B11119,74:86:e2:13:b3:b0,74:86:e2:13:b3:03,10.10.111.19,10.10.200.111,19,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1547,,,,,,,
B11120,74:86:e2:13:86:e2,74:86:e2:13:86:42,10.10.111.20,10.10.200.112,20,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1546,,,,,,,
B11201,74:86:e2:13:85:91,74:86:e2:13:84:27,10.10.112.1,10.10.200.113,1,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1535,,,,,,,BAD HDD
B11202,74:86:e2:13:88:3f,74:86:e2:13:85:34,10.10.112.2,10.10.200.114,2,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1538,,,,,,,
B11203,74:86:e2:13:88:7e,74:86:e2:13:87:22,10.10.112.3,10.10.200.113,3,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1665,,,,,,,
B11204,74:86:e2:13:b3:cf,74:86:e2:13:ae:ea,10.10.112.4,10.10.200.114,4,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1540,,,,,,,
B11205,74:86:e2:13:8e:eb,74:86:e2:13:8e:44,10.10.112.5,10.10.200.113,5,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1539,,,,,,,
B11206,74:86:e2:13:93:61,74:86:e2:13:92:d8,10.10.112.6,10.10.200.114,6,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1556,,,,,,,BAD HDD
B11207,74:86:e2:13:88:41,74:86:e2:13:87:5e,10.10.112.7,10.10.200.113,7,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1557,,,,,,,BAD HDD
B11208,74:86:e2:13:8e:fc,74:86:e2:13:8e:50,10.10.112.8,10.10.200.114,22,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1530,,,,,,,
B11209,74:86:e2:13:b2:6c,74:86:e2:13:b1:a0,10.10.112.9,10.10.200.113,9,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1559,,,,,,,BAD HDD
B11210,74:86:e2:10:65:c2,74:86:e2:10:63:45,10.10.112.10,10.10.200.114,10,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1472,,,,,,,BAD HDD
B11211,74:86:e2:13:88:a1,74:86:e2:13:87:ec,10.10.112.11,10.10.200.113,11,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1565,,,,,,,
B11212,74:86:e2:13:85:ff,74:86:e2:13:84:ee,10.10.112.12,10.10.200.114,12,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1564,,,,,,,
B11213,74:86:e2:13:b5:63,74:86:e2:13:b1:cf,10.10.112.13,10.10.200.113,13,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1563,,,,,,,
B11214,74:86:e2:13:b3:f7,74:86:e2:13:b2:cc,10.10.112.14,10.10.200.114,14,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1532,,,,,,,
B11215,74:86:e2:13:b4:76,74:86:e2:13:b2:46,10.10.112.15,10.10.200.113,15,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1561,,,,,,,
B11216,74:86:e2:13:88:ea,74:86:e2:13:87:b1,10.10.112.16,10.10.200.114,23,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1666,,,,,,,
B11217,74:86:e2:13:b5:97,74:86:e2:13:b2:ac,10.10.112.17,10.10.200.113,17,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1667,,,,,,,
B11218,74:86:e2:13:b3:a4,74:86:e2:13:b2:c1,10.10.112.18,10.10.200.114,18,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1668,,,,,,,
B11219,74:86:e2:13:88:9a,74:86:e2:13:86:f2,10.10.112.19,10.10.200.113,19,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1669,,,,,,,
B11220,74:86:e2:13:a2:16,74:86:e2:13:a1:8c,10.10.112.20,10.10.200.114,20,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1670,,,,,,,
B11301,74:86:e2:13:62:7e,74:86:e2:13:62:23,10.10.113.1,10.10.200.115,1,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1533,,,,,,,
B11302,74:86:e2:13:ae:c5,74:86:e2:13:ad:fb,10.10.113.2,10.10.200.116,2,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1517,,,,,,,
B11303,74:86:e2:13:8b:69,74:86:e2:13:8a:cb,10.10.113.3,10.10.200.115,3,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1532,,,,,,,
B11304,74:86:e2:13:b4:60,74:86:e2:13:b1:f5,10.10.113.4,10.10.200.116,4,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1531,,,,,,,
B11305,74:86:e2:13:8d:63,74:86:e2:13:8c:b2,10.10.113.5,10.10.200.115,5,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1536,,,,,,,
B11306,74:86:e2:13:92:f1,74:86:e2:13:92:79,10.10.113.6,10.10.200.116,6,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1566,,,,,,,
B11307,74:86:e2:13:b2:78,74:86:e2:13:b1:c7,10.10.113.7,10.10.200.115,7,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1567,,,,,,,
B11308,74:86:e2:13:92:b9,74:86:e2:13:92:1b,10.10.113.8,10.10.200.116,22,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1568,,,,,,,
B11309,74:86:e2:13:8a:b5,74:86:e2:13:89:ec,10.10.113.9,10.10.200.115,9,Yes,Y,Y,10.10.0.1,Y,Y,Y,Y,Y,,,TR-1569,,,,,,,
B11310,74:86:e2:13:b2:c9,74:86:e2:13:91:07,10.10.113.10,10.10.200.116,10,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-,,,,,,,
B11311,74:86:e2:10:6a:8a,74:86:e2:10:67:f8,10.10.113.11,10.10.200.115,11,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1526,,,,,,,
B11312,74:86:e2:13:88:f4,74:86:e2:13:87:6a,10.10.113.12,10.10.200.116,12,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1574,,,,,,,
B11313,74:86:e2:13:92:19,74:86:e2:13:91:78,10.10.113.13,10.10.200.115,13,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1573,,,,,,,
B11314,74:86:e2:13:92:2c,74:86:e2:13:91:9b,10.10.113.14,10.10.200.116,14,Yes,Y,Y,Y,Y,Y,Y,Y,Y,,,TR-1572,,,,,,,
