Rig,OLD,OLD,MAC (NIC-1) enp031f6,MAC (NIC-2) enp2s0,IP,PDU IP,PDU Port #,Rig In place?,Ram,Nvme,Bios,Renamed,Pdu Port set,Ip set,Commisioned,Partition,Deployed,VastAi,Tower Number,Company's Serial Number,Notes
B12101,80:e8:2c:e2:92:bb,80:e8:2c:e2:92:bc,80:e8:2c:e2:e0:77,80:e8:2c:e2:e0:78,10.10.121.1,10.10.200.121,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1353,,
B12102,80:e8:2c:e2:e1:d1,80:e8:2c:e2:e1:d2,80:e8:2c:e2:ea:b0,80:e8:2c:e2:ea:b1,10.10.121.2,10.10.200.122,2,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,TR-1351,,Have some issues with Computer
B12103,80:e8:2c:e2:e2:26,80:e8:2c:e2:e2:27,80:e8:2c:e2:e2:26,80:e8:2c:e2:e2:27,10.10.121.3,10.10.200.121,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1340,,
B12104,80:e8:2c:e2:ea:b0,80:e8:2c:e2:ea:b1,80:e8:2c:e2:e1:d1,80:e8:2c:e2:e1:d2,10.10.121.4,10.10.200.122,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1352,,
B12105,80:e8:2c:e2:e0:77,80:e8:2c:e2:e0:78,80:e8:2c:e2:92:bb,80:e8:2c:e2:92:bc,10.10.121.5,10.10.200.121,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-,,
B12106,80:e8:2c:e2:e1:eb,80:e8:2c:e2:e1:ec,80:e8:2c:e2:e0:e9,80:e8:2c:e2:e0:ea,10.10.121.6,10.10.200.122,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1324,,
B12107,,,80:e8:2c:e2:e0:db,80:e8:2c:e2:e0:dc,10.10.121.7,10.10.200.121,7,Yes,Yes,Yes,Yes,Yes,,,,,,,TR-1372,,Need to check the internet cable
B12108,,,,,,10.10.200.122,22,Yes,Yes,Yes,Yes,Yes,,,,,,,TR-,,Time Sync Issue (Error Code: 005 Possible action to fix it is replacing the Battery)
B12109,80:e8:2c:e2:e0:db,80:e8:2c:e2:e0:dc,80:e8:2c:e2:e2:87,80:e8:2c:e2:e2:88,,10.10.200.121,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1378,,
B12110,80:e8:2c:e2:e0:e9,80:e8:2c:e2:e0:ea,80:e8:2c:e2:e1:eb,80:e8:2c:e2:e1:ec,10.10.121.10,10.10.200.122,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1387,,
